46.7999,23.75433
 46.79849,23.75175
 46.79684,23.75055
 46.79543,23.74918
 46.79437,23.74763
 46.7932,23.74489
 46.79214,23.74249
 46.79143,23.74008
 46.79038,23.73716
 46.78967,23.73442
 46.78908,23.73236
 46.7885,23.73081
 46.78803,23.7291
 46.78756,23.72738
 46.78685,23.72498
 46.78638,23.72292
 46.78568,23.7212
 46.78509,23.71897
 46.7845,23.71725
 46.78379,23.71502
 46.78356,23.71244
 46.78356,23.71021
 46.78285,23.70712
 46.78274,23.70489
 46.7825,23.70146
 46.78203,23.69888
 46.78191,23.69545
 46.78168,23.69287
 46.78168,23.68979
 46.78144,23.68584
 46.78121,23.68292
 46.78097,23.67949
 46.7805,23.67468
 46.7805,23.67073
 46.7805,23.66867
 46.78109,23.66558
 46.78274,23.66335
 46.78321,23.66129
 46.78426,23.65957
 46.78485,23.65768
 46.7845,23.65545
 46.78415,23.65339
 46.78403,23.6515
 46.78403,23.64996
 46.78403,23.64824
 46.78403,23.64618
 46.78391,23.64412
 46.78368,23.64309
 46.78321,23.64155
 46.78262,23.64035
 46.78215,23.63863
 46.78203,23.63588
 46.78156,23.63503
 46.78156,23.63382
 46.78121,23.63279
 46.78109,23.63142
 46.78086,23.6297
 46.78074,23.62782
 46.78039,23.62576
 46.78027,23.62404
 46.78003,23.62267
 46.77933,23.62112
 46.77909,23.61958
 46.77874,23.6182
 46.77839,23.61614
 46.77839,23.61425
 46.77815,23.6134
 46.77815,23.61254
 46.77756,23.61065
 46.77733,23.60962
 46.77709,23.60825
 46.77674,23.60704
 46.77627,23.60636
 46.77615,23.6055
 46.7758,23.60447
 46.77557,23.60327
 46.7751,23.60258
